Article	DOI	country (author)	country (research)	therapeutic area	general character
Study of Pre-trained Language Models for Named Entity Recognition in Clinical Trial Eligibility Criteria from Multiple Corpora	10.1109/ICHI52183.2021.00095	USA	not specified	not specified	model evaluation
Accuracy of an Artificial Intelligence System for Cancer Clinical Trial Eligibility Screening: Retrospective Pilot Study	10.2196/27767	USA	USA	breast cancer	software presentation
Extending the Query Language of a Data Warehouse for Patient Recruitment	10.3233/978-1-61499-808-2-152	Germany	Germany	stroke	research paper
An Evaluation of Pretrained BERT Models for Comparing Semantic Similarity Across Unstructured Clinical Trial Texts	10.3233/SHTI210848	USA	not specified	not specified	model evaluation
Automated classification of eligibility criteria in clinical trials to facilitate patient-trial matching for specific patient populations	10.1093/jamia/ocw176	USA	not specified	oncology	research paper
A Unified Machine Reading Comprehension Framework for Cohort Selection	10.1109/JBHI.2021.3095478	China	not specified	not specified	research paper
ASCOT: A text mining-based web-service for efficient search and assisted creation of clinical trials	10.1186/1472-6947-12-S1-S3	UK	UK	not specified	software presentation
Cohort selection for clinical trials using deep learning models	10.1093/jamia/ocz139	Spain	not specified	not specified	model evaluation
EliIE: An open-source information extraction system for clinical trial eligibility criteria	10.1093/jamia/ocx019	USA	USA	Alzheimer's disease	software presentation
Classifying Eligibility Criteria in Clinical Trials Using Active Deep Learning	10.1109/ICMLA.2018.00052	USA	USA	not specified	research paper
Protocol Feasibility Workflow Using an Automated Multi-country Patient Cohort System	10.3233/978-1-61499-432-9-985	Germany	not specified	not specified	research paper
Assessing clinical trial eligibility with logic expression queries	10.1016/j.datak.2007.07.005	USA	not specified	not specified	research paper
Improving the efficiency of clinical trial recruitment using electronic health record data, natural language processing, and machine learning	10.1002/art.41108	USA	USA	rheumatoid arthritis	research paper
Automatic trial eligibility surveillance based on unstructured clinical data	10.1016/j.ijmedinf.2019.05.018	USA	not specified	breast cancer	research paper
Information Extraction from Free Text in Clinical Trials with Knowledge-based Distant Supervision	10.1109/COMPSAC.2019.00158	USA	USA	not specified	research paper
ETACTS: A method for dynamically filtering clinical trial search results	10.1016/j.jbi.2013.07.014	USA	not specified	not specified	software presentation
A practical method for transforming free-text eligibility criteria into computable criteria	10.1016/j.jbi.2010.09.007	USA, Israel	USA	not specified	research paper
Evaluation of an artificial intelligence clinical trial matching system in Australian lung cancer patients	10.1093/jamiaopen/ooaa002	Australia, USA	Australia	lung cancer 	software presentation
Increasing the efficiency of trial-patient matching: automated clinical trial eligibility Pre-screening for pediatric oncology patients	10.1186/s12911-015-0149-3	USA	USA	pediatric oncology	research paper
An eligibility criteria query language for heterogeneous data warehouses	10.3414/ME13-02-0027	UK	not specified	not specified	research paper
DeepEnroll: Patient-Trial Matching with Deep Embedding and Entailment Prediction	10.1145/3366423.3380181	USA	not specified	not specified	model evaluation
Improving Clinical Trial Participant Prescreening With Artificial Intelligence (AI): A Comparison of the Results of AI-Assisted vs Standard Methods in 3 Oncology Trials	10.1177/2168479018815454	USA	USA	oncology	software presentation
ExaCT: automatic extraction of clinical trial characteristics from journal publications	10.1186/1472-6947-10-56	Canada	not specified	not specified	software presentation
Building a specialized lexicon for breast cancer clinical trial subject eligibility analysis	10.1177/1460458221989392	USA	USA	breast cancer	dataset presentation
An OMOP CDM-Based Relational Database of Clinical Research Eligibility Criteria	10.3233/978-1-61499-830-3-950	USA	USA	Alzheimer's disease	dataset presentation
An Ensemble Learning Strategy for Eligibility Criteria Text Classification for Clinical Trial Recruitment: Algorithm Development and Validation	10.2196/17832	China	China	not specified	model evaluation
Chia, a large annotated corpus of clinical trial eligibility criteria	10.1038/s41597-020-00620-0	USA	not specified	not specified	dataset presentation
Cohort selection for clinical trials using multiple instance learning	10.1016/j.jbi.2020.103438	Taiwan, Australia	not specified	not specified	research paper
Learning Eligibility in Cancer Clinical Trials Using Deep Neural Networks	10.3390/app8071206	Spain	not specified	oncology	model evaluation
Valx: A System for Extracting and Structuring Numeric Lab Test Comparison Statements from Text	10.3414/ME15-01-0112	China, USA	not specified	diabetes	software presentation
