Article	DOI	business objective	NLP methods	metrics	datasets	# protocols	# criteria	protocol source	auxiliary datasets	ground truth	preprocessing	shallow ML methods	neural models	knowledge bases	main contribution
Study of Pre-trained Language Models for Named Entity Recognition in Clinical Trial Eligibility Criteria from Multiple Corpora	10.1109/ICHI52183.2021.00095	CT parsing	NER	PRF	Covance, ELilE, Chia	1700.0		internal, ClinicalTrials.gov			normalization		BERT, SpanBERT, BlueBERT, BioBERT, PubMedBERT, SciBERT		evaluation
Accuracy of an Artificial Intelligence System for Cancer Clinical Trial Eligibility Screening: Retrospective Pilot Study	10.2196/27767	patient CT matching	not specified	accuracy, sensitivity, specificity, PPV, NPV	not specified	4.0		internal, ClinicalTrials.gov		manual					evaluation
Extending the Query Language of a Data Warehouse for Patient Recruitment	10.3233/978-1-61499-808-2-152	patient CT matching	IR	recall	internal				EHR	manual	regex, negation detection				evaluation
An Evaluation of Pretrained BERT Models for Comparing Semantic Similarity Across Unstructured Clinical Trial Texts	10.3233/SHTI210848	CT similarity	STS	similarity	not specified	689.0		internal, ClinicalTrials.gov		manual		cosine similarity	BERT, BioBERT, BlueBERT, ClinicalBioBERT, SciBERT, PubMedBERT, CODER		evaluation
Automated classification of eligibility criteria in clinical trials to facilitate patient-trial matching for specific patient populations	10.1093/jamia/ocw176	patient CT matching	classification	PRF, AUC	not specified	3462.0		ClinicalTrials.gov		manual	TF-IDF, term normalization, negation detection	SVM			method
A Unified Machine Reading Comprehension Framework for Cohort Selection	10.1109/JBHI.2021.3095478	CT design	QA	F1	i2b2/n2c2		26.0			manual	normalization, keyword filtering		BERT, RoBERTa, BioBERT, word2vec, Glove, FastText, BiLSTM, BiDAF		method
ASCOT: A text mining-based web-service for efficient search and assisted creation of clinical trials	10.1186/1472-6947-12-S1-S3	CT design	NER		not specified						keyword filtering, term normalization				evaluation
Cohort selection for clinical trials using deep learning models	10.1093/jamia/ocz139	n2c2 challenge	not specified	F1	i2b2/n2c2		13.0						word2vec, CNN, GRU, FCFF		method
EliIE: An open-source information extraction system for clinical trial eligibility criteria	10.1093/jamia/ocx019	CT parsing	NER, RE, normalization	F1, accuracy	not specified	230.0		ClinicalTrials.gov		manual	normalization, negation detection	SVM, CRF			protocol
Classifying Eligibility Criteria in Clinical Trials Using Active Deep Learning	10.1109/ICMLA.2018.00052	patient CT matching	classification	error rate	not specified	9762.0	209441.0	NCI							method
Protocol Feasibility Workflow Using an Automated Multi-country Patient Cohort System	10.3233/978-1-61499-432-9-985	patient CT matching	not specified	not specified	not specified										method
Assessing clinical trial eligibility with logic expression queries	10.1016/j.datak.2007.07.005	patient CT matching	IR, normalization	PRF	not specified	100.0	1545.0	ClinicalTrials.gov		manual	normalization, custom transformations				method
Improving the efficiency of clinical trial recruitment using electronic health record data, natural language processing, and machine learning	10.1002/art.41108	patient CT matching	NER 	sensitivity, PPV, custom	internal		15.0			manual		RF, logistic regression		UMLS	method
Automatic trial eligibility surveillance based on unstructured clinical data	10.1016/j.ijmedinf.2019.05.018	patient CT matching	NER, classification, EL	recall, precision, AUC, MAP	internal	3.0	24.0	ClinicalTrials.gov	EHR	manual	normalization, term normalization, custom transformations, regex	SVM, cosine similarity, custom rules			method
Information Extraction from Free Text in Clinical Trials with Knowledge-based Distant Supervision	10.1109/COMPSAC.2019.00158	CT parsing	normalization	accuracy, recall	not specified	100.0	386.0	ClinicalTrials.gov						UMLS, Wikipedia, OHDSI	method
ETACTS: A method for dynamically filtering clinical trial search results	10.1016/j.jbi.2013.07.014	patient CT matching	STS	custom	internal	141291.0		ClinicalTrials.gov	synthetic EHR		POS, keyword filtering, term normalization	jaccard similarity, custom rules			evaluation
A practical method for transforming free-text eligibility criteria into computable criteria	10.1016/j.jbi.2010.09.007	CT parsing	normalization	custom	not specified			ClinicalTrials.gov		manual	keyword filtering, custom transformations	dependency parsing		UMLS	method
Evaluation of an artificial intelligence clinical trial matching system in Australian lung cancer patients	10.1093/jamiaopen/ooaa002	patient CT matching	not specified	accuracy, precision, recall, PPV, NPV	internal	10.0	11467.0	internal, ClinicalTrials.gov	EHR	manual					evaluation
Increasing the efficiency of trial-patient matching: automated clinical trial eligibility Pre-screening for pediatric oncology patients	10.1186/s12911-015-0149-3	patient CT matching	IR	precision, recall, NPV, specificity	internal	55.0		ClinicalTrials.gov	EHR	manual	keyword filtering, negation detection, regex, sentence segmentation	custom rules		UMLS, SNOMED, RxNORM	method
An eligibility criteria query language for heterogeneous data warehouses	10.3414/ME13-02-0027	patient CT matching	IR, EL	custom	internal	17.0	208.0							CCR, HL7 RIM	method
DeepEnroll: Patient-Trial Matching with Deep Embedding and Entailment Prediction	10.1145/3366423.3380181	patient CT matching	NLI	F1, AUC	IQVIA	794.0	12445.0	ClinicalTrials.gov	IQVIA, Synthea	manual	numerical normalization, BOW		MLP, ClinicalBERT		method
Improving Clinical Trial Participant Prescreening With Artificial Intelligence (AI): A Comparison of the Results of AI-Assisted vs Standard Methods in 3 Oncology Trials	10.1177/2168479018815454	patient CT matching	NLI	custom, precision	not specified	3.0		CBCC		manual	OCR		Mendel.ai	SNOMED, ICD	method
ExaCT: automatic extraction of clinical trial characteristics from journal publications	10.1186/1472-6947-10-56	CT parsing	IR	precision, recall	not specified	182.0		PubMed		manual	BOW, keyword filtering, normalization, regex, sentence segmentation	SVM			evaluation
Building a specialized lexicon for breast cancer clinical trial subject eligibility analysis	10.1177/1460458221989392	patient CT matching	IR, EL	custom 	NCI dictionary, breastcancer.org, emedicinehealth.org	378.0		ClinicalTrials.gov	NCI dictionary, ACS website, breastcancer.org		TF-IDF			SNOMED	protocol
An OMOP CDM-Based Relational Database of Clinical Research Eligibility Criteria	10.3233/978-1-61499-830-3-950	CT parsing	NER, normalization, RE	PRF	not specified	1587.0		ClinicalTrials.gov		manual	POS, negation detection, term normalization, sentence segmentation	SVM		SNOMED, ICD	method
An Ensemble Learning Strategy for Eligibility Criteria Text Classification for Clinical Trial Recruitment: Algorithm Development and Validation	10.2196/17832	CT parsing	classification	accuracy, PRF	not specified		38341.0	internal		manual	regex, normalization	GBM	BERT, BERNIE, XLNet, RoBERTa		method
Chia, a large annotated corpus of clinical trial eligibility criteria	10.1038/s41597-020-00620-0	dataset building	not specified	PRF, Cohen kappa	Chia	1000.0	12409.0	ClinicalTrials.gov		manual					dataset
Cohort selection for clinical trials using multiple instance learning	10.1016/j.jbi.2020.103438	patient CT matching	classification	F1	i2b2/n2c2	13.0				benchmark dataset	term normalization, regex, negation detection, TF-IDF	SVM, KNN, custom rules			method
Learning Eligibility in Cancer Clinical Trials Using Deep Neural Networks	10.3390/app8071206	patient CT matching	classification	PRF, Cohen kappa	not specified	49201.0	6186572.0	ClinicalTrials.gov		protocol text	BOW, custom transformations, normalization, sentence segmentation	SVM, KNN	word2vec, CNN		method
Valx: A System for Extracting and Structuring Numeric Lab Test Comparison Statements from Text	10.3414/ME15-01-0112	CT parsing	IR, normalization	PRF 	not specified	4383.0		ClinicalTrials.gov		manual	normalization, regex, custom transformations			UMLS	evaluation
EMR2vec: Bridging the gap between patient data and clinical trial	10.1016/j.cie.2021.107236	patient CT matching	classification, NER, STS, EL	PRF, p@k	i2b2/n2c2	31500.0		ClinicalTrials.gov		manual	term normalization, negation detection	SVM, CRF, custom rules	CNN, LSTM, BioBERT, word2vec, BiLSTM, BiLSTM-CRF, BioBERT-CRF		method
How the clinical research community responded to the COVID-19 pandemic: an analysis of the COVID-19 clinical studies in ClinicalTrials.gov	10.1093/jamiaopen/ooab032	CT parsing	IR	precision, recall	not specified	3765.0		ClinicalTrials.gov		manual	term normalization, TF-IDF, PCA	k-means, custom rules		MeSH	method
DQueST: dynamic questionnaire for search of clinical trials	10.1093/jamia/ocz121	patient CT matching	NER, IR, EL	custom	internal	252330.0		ClinicalTrials.gov		manual	BOW, negation detection, numerical normalization, custom transformations, term normalization, sentence segmentation	custom rules, clustering, CRF		OHDSI	evaluation
Conflict discovery and analysis for clinical trials	10.1145/3079452.3079494	CT parsing	IR	custom	not specified	134.0		ClinicalTrials.gov			normalization	custom rules		UMLS	method
COVID-19 trial graph: a linked graph for COVID-19 clinical trials	10.1093/jamia/ocab078	CT design	IR, normalization	precision, recall	not specified	3392.0		ClinicalTrials.gov		manual	normalization	SVM, RF, GBM, logistic regression	GNN, t-SNE, node2vec	OMOP CDM	dataset
Identifying the status of genetic lesions in cancer clinical trial documents using machine learning	10.1186/1471-2164-13-S8-S21	CT parsing	NER, IR, EL	accuracy	internal	250.0	1143.0	NCI		manual	POS, negation detection, keyword filtering	SVM			method
